Zip,Tested,Positive Cases
53142,111,6
60002,443,65
60004,1723,178
60005,522,90
60007,643,125
60008,499,161
60010,524,54
60012,174,59
60013,295,53
60014,717,99
60015,660,117
60016,2086,707
60018,956,306
60020,192,22
60021,78,10
60022,203,23
60025,1180,227
60026,403,93
60030,645,97
60031,878,189
60033,269,73
60035,901,167
60040,169,55
60041,153,25
60042,110,18
60043,93,14
60044,299,61
60045,520,97
60046,589,111
60047,526,105
60048,469,73
60050,568,114
60051,379,64
60053,762,180
60056,1301,352
60060,776,244
60061,461,102
60062,1304,216
60064,697,374
60067,611,92
60068,845,180
60069,214,45
60070,400,117
60071,52,7
60073,1316,401
60074,841,200
60076,1422,317
60077,1180,256
60079,19,6
60081,142,29
60083,203,59
60084,254,101
60085,2772,1437
60087,915,371
60088,74,37
60089,691,138
60090,1104,349
60091,779,111
60093,614,105
60096,109,20
60097,186,24
60098,666,190
60099,839,301
60101,1157,390
60102,449,72
60103,747,133
60104,905,271
60106,994,297
60107,965,267
60108,1062,135
60109,259,11
60110,665,255
60112,78,15
60115,588,61
60118,199,34
60119,161,17
60120,1103,464
60123,955,288
60124,285,40
60126,1055,158
60130,549,78
60131,728,203
60133,991,341
60134,388,81
60135,111,18
60136,120,26
60137,654,82
60139,1013,294
60140,288,44
60141,163,7
60142,479,47
60143,428,88
60148,1031,158
60152,182,36
60153,1125,283
60154,693,124
60155,364,115
60156,442,68
60157,41,6
60160,1138,368
60162,381,95
60163,201,54
60164,1256,267
60165,234,107
60169,719,207
60171,354,65
60172,526,133
60173,187,41
60174,748,69
60175,394,38
60176,354,79
60177,415,150
60178,283,22
60181,651,136
60185,978,308
60187,585,68
60188,1054,264
60189,494,54
60190,306,22
60191,368,94
60192,235,27
60193,668,121
60194,382,69
60195,62,8
60201,1475,221
60202,1275,224
60203,136,21
60301,97,16
60302,1037,139
60304,497,52
60305,310,35
60401,218,32
60402,2789,768
60403,642,105
60404,530,76
60406,1045,265
60408,97,12
60409,1718,365
60410,267,24
60411,2708,594
60415,451,135
60417,560,104
60418,265,61
60419,1193,246
60421,72,6
60422,422,64
60423,644,102
60425,575,92
60426,1462,301
60428,798,146
60429,1043,167
60430,930,204
60431,791,119
60432,627,161
60433,554,157
60434,82,133
60435,1989,421
60436,656,113
60438,1096,238
60439,479,58
60440,2037,529
60441,758,136
60442,199,29
60443,1185,265
60445,594,96
60446,1342,284
60447,305,24
60448,450,92
60449,358,56
60450,268,22
60451,545,68
60452,740,129
60453,1718,468
60455,856,212
60456,153,33
60457,316,85
60458,452,75
60459,880,239
60461,276,46
60462,960,174
60463,454,145
60464,196,29
60465,457,118
60466,1468,388
60467,542,106
60468,102,19
60469,206,36
60471,722,152
60472,285,47
60473,1307,271
60475,331,55
60476,93,14
60477,920,153
60478,1181,240
60480,144,21
60481,202,15
60482,294,58
60484,337,77
60487,576,91
60490,607,99
60491,469,95
60501,444,160
60502,314,39
60503,218,33
60504,671,136
60505,1492,698
60506,1578,395
60510,470,54
60513,702,92
60514,252,28
60515,458,48
60516,503,74
60517,750,132
60521,608,160
60523,333,61
60525,1117,168
60526,490,51
60527,1022,170
60532,469,75
60534,368,83
60538,495,117
60540,781,73
60542,367,54
60543,555,112
60544,757,104
60545,291,68
60546,622,93
60548,177,26
60551,56,16
60552,61,6
60554,174,20
60555,294,59
60558,264,19
60559,646,182
60560,315,46
60561,572,79
60563,763,101
60564,692,86
60565,667,113
60585,397,51
60586,1173,200
60601,433,62
60602,69,8
60603,45,6
60604,57,12
60605,942,137
60606,276,39
60607,1213,321
60608,3426,1030
60609,2652,941
60610,1172,162
60611,1306,104
60612,2317,455
60613,1367,299
60614,2102,373
60615,1703,268
60616,1823,285
60617,3398,659
60618,2906,685
60619,3047,662
60620,3320,798
60621,1344,363
60622,1832,398
60623,4158,1875
60624,1941,522
60625,2665,841
60626,2229,634
60628,2944,748
60629,4390,1740
60630,1969,458
60631,1353,163
60632,3747,1631
60633,1226,194
60634,3920,853
60636,1328,455
60637,2413,388
60638,2725,712
60639,4530,1852
60640,2256,563
60641,2726,769
60642,642,97
60643,2764,557
60644,2667,760
60645,2492,729
60646,1362,246
60647,2864,724
60649,2383,540
60651,2891,931
60652,1870,542
60653,1685,341
60654,575,106
60655,1389,192
60656,1157,163
60657,1780,238
60659,1448,466
60660,1111,269
60661,254,28
60706,1093,224
60707,2022,485
60712,526,119
60714,1523,487
60803,698,152
60804,4180,1562
60805,609,167
60827,1112,228
60901,1403,261
60912,15,6
60914,719,76
60915,298,31
60922,69,10
60927,105,38
60950,271,25
60954,246,15
60955,26,7
60958,64,16
60964,92,15
61008,477,159
61016,106,16
61021,491,53
61032,346,73
61064,53,9
61065,131,13
61068,755,102
61071,134,24
61072,113,15
61073,209,14
61080,99,14
61081,239,55
61084,26,6
61101,651,104
61102,532,102
61103,577,84
61104,430,114
61107,474,60
61108,545,115
61109,532,92
61111,309,26
61114,212,33
61115,303,26
61201,550,134
61235,41,8
61240,66,6
61241,106,13
61244,394,130
61252,53,8
61254,176,7
61264,153,15
61265,749,157
61270,79,6
61275,51,8
61282,129,31
61341,117,21
61342,104,14
61350,242,10
61356,129,7
61401,646,57
61410,44,6
61443,184,17
61455,334,39
61462,251,85
61525,109,6
61548,125,6
61554,552,17
61603,450,19
61604,652,24
61605,367,10
61610,68,6
61611,364,18
61614,480,39
61615,398,18
61701,907,37
61704,708,18
61705,268,8
61761,811,33
61764,189,10
61801,491,22
61802,590,29
61820,527,37
61821,718,31
61822,558,30
61832,410,15
61853,281,11
61866,525,61
61874,177,10
61910,59,6
61920,178,10
61938,217,9
61953,110,9
62002,282,63
62010,63,8
62024,42,7
62025,425,100
62034,159,46
62035,101,13
62040,364,62
62052,59,12
62056,138,12
62060,52,15
62062,140,6
62069,59,8
62088,191,6
62090,13,8
62095,86,10
62201,47,12
62203,72,24
62204,76,31
62205,86,32
62206,263,62
62207,84,38
62208,148,38
62220,174,65
62221,219,57
62223,122,38
62226,430,83
62230,73,6
62231,228,63
62232,52,8
62233,274,76
62234,245,32
62236,102,36
62239,24,10
62249,90,10
62254,83,19
62257,42,7
62258,69,14
62265,136,10
62269,231,57
62272,112,44
62274,88,9
62278,87,14
62285,32,6
62286,178,26
62288,125,30
62294,85,16
62295,13,7
62298,146,37
62301,383,19
62305,106,15
62448,206,37
62454,102,7
62471,97,16
62521,557,84
62522,109,21
62526,253,24
62565,56,9
62568,216,25
62618,409,48
62629,263,10
62650,385,22
62656,369,9
62664,71,9
62675,130,6
62684,262,63
62702,880,48
62703,700,41
62704,842,32
62707,168,11
62711,318,17
62801,509,50
62832,196,14
62864,525,77
62901,508,89
62902,71,12
62906,206,30
62907,42,12
62918,147,10
62920,83,20
62948,204,6
62959,480,23
62966,324,40
62992,54,20